Scope,Variant,Candidate,Base_Type,Feature_Selection,Calibration,Best_Model,PR_AUC,AUC,Brier,Threshold,Note
normal,g2_pca_manifold,normal_g2_pca_manifold_nofs_raw,raw,False,none,Elastic LR,0.2895165358978168,0.8182849481771772,0.06493699574620028,0.07999999999999999,compressed low-dimensional manifold of continuous stage-1 forecasts; scope=normal
normal,g4_residual_pca,normal_g4_residual_pca_fs_cal_phase,calibrated,True,phase,Calibrated,0.25062264412163915,0.7977620791007065,0.0668964686018534,0.10999999999999999,residual manifold after removing current-window context; scope=normal
normal,g4_residual_pca,normal_g4_residual_pca_nofs_raw,raw,False,none,Logistic Reg.,0.21766799574249313,0.7740937451657814,0.06887941173099699,0.09,residual manifold after removing current-window context; scope=normal
normal,g4_residual_pca,normal_g4_residual_pca_nofs_cal_global,calibrated,False,global,Calibrated,0.21766799574249313,0.7740937451657814,0.06884494340881979,0.13999999999999999,residual manifold after removing current-window context; scope=normal
normal,g4_residual_pca,normal_g4_residual_pca_fs_raw,raw,True,none,Logistic Reg.,0.21766799574249313,0.7740937451657814,0.06887941173099699,0.09,residual manifold after removing current-window context; scope=normal
normal,g4_residual_pca,normal_g4_residual_pca_fs_cal_global,calibrated,True,global,Calibrated,0.21766799574249313,0.7740937451657814,0.06884494340881979,0.13999999999999999,residual manifold after removing current-window context; scope=normal
normal,g5_residual_cluster_hybrid,normal_g5_residual_cluster_hybrid_nofs_cal_interval,calibrated,False,interval,Calibrated,0.21940341552973464,0.789202289485897,0.06746287539759262,0.12999999999999998,residual manifold plus residual archetypes; scope=normal
normal,g5_residual_cluster_hybrid,normal_g5_residual_cluster_hybrid_nofs_cal_phase,calibrated,False,phase,Calibrated,0.21014326344040413,0.762852575671634,0.06849868808525927,0.13999999999999999,residual manifold plus residual archetypes; scope=normal
normal,g5_residual_cluster_hybrid,normal_g5_residual_cluster_hybrid_fs_cal_interval,calibrated,True,interval,Calibrated,0.20368065538661487,0.7885319445160626,0.068129852273729,0.12999999999999998,residual manifold plus residual archetypes; scope=normal
normal,g5_residual_cluster_hybrid,normal_g5_residual_cluster_hybrid_fs_cal_phase,calibrated,True,phase,Calibrated,0.1830078385091065,0.755220956015057,0.06922140354062442,0.11999999999999998,residual manifold plus residual archetypes; scope=normal
normal,g5_residual_cluster_hybrid,normal_g5_residual_cluster_hybrid_nofs_raw,raw,False,none,Elastic LR,0.15900849816555154,0.6799876244005568,0.0739594221139397,0.10999999999999999,residual manifold plus residual archetypes; scope=normal
normal,g5_residual_cluster_hybrid,normal_g5_residual_cluster_hybrid_nofs_cal_global,calibrated,False,global,Calibrated,0.15900849816555154,0.6799876244005568,0.07174071502415329,0.09999999999999999,residual manifold plus residual archetypes; scope=normal
normal,g5_residual_cluster_hybrid,normal_g5_residual_cluster_hybrid_fs_raw,raw,True,none,Elastic LR,0.14371273758208503,0.6749342546279584,0.07287326461940384,0.09,residual manifold plus residual archetypes; scope=normal
normal,g5_residual_cluster_hybrid,normal_g5_residual_cluster_hybrid_fs_cal_global,calibrated,True,global,Calibrated,0.14371273758208503,0.6749342546279584,0.07224733043400118,0.09,residual manifold plus residual archetypes; scope=normal
nonhyper,g2_pca_manifold,nonhyper_g2_pca_manifold_nofs_raw,raw,False,none,Elastic LR,0.30095503072236995,0.8212757180425927,0.06472629402509462,0.07999999999999999,compressed low-dimensional manifold of continuous stage-1 forecasts; scope=nonhyper
nonhyper,g2_pca_manifold,nonhyper_g2_pca_manifold_nofs_cal_global,calibrated,False,global,Calibrated,0.30095503072236995,0.8212757180425927,0.06457125796194224,0.09,compressed low-dimensional manifold of continuous stage-1 forecasts; scope=nonhyper
nonhyper,g2_pca_manifold,nonhyper_g2_pca_manifold_fs_raw,raw,True,none,Elastic LR,0.30095503072236995,0.8212757180425927,0.06472629402509462,0.07999999999999999,compressed low-dimensional manifold of continuous stage-1 forecasts; scope=nonhyper
nonhyper,g2_pca_manifold,nonhyper_g2_pca_manifold_fs_cal_global,calibrated,True,global,Calibrated,0.30095503072236995,0.8212757180425927,0.06457125796194224,0.09,compressed low-dimensional manifold of continuous stage-1 forecasts; scope=nonhyper
nonhyper,g2_pca_manifold,nonhyper_g2_pca_manifold_nofs_cal_phase,calibrated,False,phase,Calibrated,0.2997083912194722,0.8181302531841386,0.06451509433244107,0.09,compressed low-dimensional manifold of continuous stage-1 forecasts; scope=nonhyper
nonhyper,g2_pca_manifold,nonhyper_g2_pca_manifold_fs_cal_phase,calibrated,True,phase,Calibrated,0.2997083912194722,0.8181302531841386,0.06451509433244107,0.09,compressed low-dimensional manifold of continuous stage-1 forecasts; scope=nonhyper
nonhyper,g2_pca_manifold,nonhyper_g2_pca_manifold_nofs_cal_interval,calibrated,False,interval,Calibrated,0.28887939849075356,0.8160160882792761,0.06451818598022567,0.09999999999999999,compressed low-dimensional manifold of continuous stage-1 forecasts; scope=nonhyper
nonhyper,g2_pca_manifold,nonhyper_g2_pca_manifold_fs_cal_interval,calibrated,True,interval,Calibrated,0.28887939849075356,0.8160160882792761,0.06451818598022567,0.09999999999999999,compressed low-dimensional manifold of continuous stage-1 forecasts; scope=nonhyper
nonhyper,g3_cluster_soft_state,nonhyper_g3_cluster_soft_state_fs_cal_interval,calibrated,True,interval,Calibrated,0.27943386900846034,0.8190068581446914,0.06497324319750497,0.16999999999999996,soft archetype memberships from predicted future physiology; scope=nonhyper
nonhyper,g3_cluster_soft_state,nonhyper_g3_cluster_soft_state_nofs_cal_interval,calibrated,False,interval,Calibrated,0.27424703374927417,0.8164286082607126,0.06521621697400079,0.17999999999999997,soft archetype memberships from predicted future physiology; scope=nonhyper
nonhyper,g3_cluster_soft_state,nonhyper_g3_cluster_soft_state_fs_cal_phase,calibrated,True,phase,Calibrated,0.26339666374769927,0.8155004383024802,0.06553268859936486,0.15999999999999998,soft archetype memberships from predicted future physiology; scope=nonhyper
nonhyper,g3_cluster_soft_state,nonhyper_g3_cluster_soft_state_fs_raw,raw,True,none,Logistic Reg.,0.25823706477040936,0.80580621873872,0.06611826579996327,0.13999999999999999,soft archetype memberships from predicted future physiology; scope=nonhyper
nonhyper,g3_cluster_soft_state,nonhyper_g3_cluster_soft_state_fs_cal_global,calibrated,True,global,Calibrated,0.25823706477040936,0.80580621873872,0.06611622860975368,0.17999999999999997,soft archetype memberships from predicted future physiology; scope=nonhyper
nonhyper,g3_cluster_soft_state,nonhyper_g3_cluster_soft_state_nofs_cal_phase,calibrated,False,phase,Calibrated,0.2562934598147461,0.8139019233744135,0.06569808881974934,0.17999999999999997,soft archetype memberships from predicted future physiology; scope=nonhyper
nonhyper,g3_cluster_soft_state,nonhyper_g3_cluster_soft_state_nofs_raw,raw,False,none,Logistic Reg.,0.24989396060224328,0.8036920538338576,0.06637679296932923,0.15999999999999998,soft archetype memberships from predicted future physiology; scope=nonhyper
nonhyper,g3_cluster_soft_state,nonhyper_g3_cluster_soft_state_nofs_cal_global,calibrated,False,global,Calibrated,0.24989396060224328,0.8036920538338576,0.06635937514188801,0.14999999999999997,soft archetype memberships from predicted future physiology; scope=nonhyper
nonhyper,g4_residual_pca,nonhyper_g4_residual_pca_nofs_cal_phase,calibrated,False,phase,Calibrated,0.249884767283636,0.7994637240241325,0.06727263227044299,0.11999999999999998,residual manifold after removing current-window context; scope=nonhyper
nonhyper,g4_residual_pca,nonhyper_g4_residual_pca_fs_cal_phase,calibrated,True,phase,Calibrated,0.249884767283636,0.7994637240241325,0.06727263227044299,0.11999999999999998,residual manifold after removing current-window context; scope=nonhyper
nonhyper,g4_residual_pca,nonhyper_g4_residual_pca_nofs_cal_interval,calibrated,False,interval,Calibrated,0.24863199146878806,0.8029185788686639,0.06647637632990162,0.11999999999999998,residual manifold after removing current-window context; scope=nonhyper
nonhyper,g4_residual_pca,nonhyper_g4_residual_pca_fs_cal_interval,calibrated,True,interval,Calibrated,0.24863199146878806,0.8029185788686639,0.06647637632990162,0.11999999999999998,residual manifold after removing current-window context; scope=nonhyper
nonhyper,g4_residual_pca,nonhyper_g4_residual_pca_nofs_raw,raw,False,none,Elastic LR,0.23210380939514225,0.7810550198525241,0.06853767402020275,0.06999999999999999,residual manifold after removing current-window context; scope=nonhyper
nonhyper,g4_residual_pca,nonhyper_g4_residual_pca_nofs_cal_global,calibrated,False,global,Calibrated,0.23210380939514225,0.7810550198525241,0.06856788603188056,0.06999999999999999,residual manifold after removing current-window context; scope=nonhyper
nonhyper,g4_residual_pca,nonhyper_g4_residual_pca_fs_raw,raw,True,none,Elastic LR,0.23210380939514225,0.7810550198525241,0.06853767402020275,0.06999999999999999,residual manifold after removing current-window context; scope=nonhyper
nonhyper,g4_residual_pca,nonhyper_g4_residual_pca_fs_cal_global,calibrated,True,global,Calibrated,0.23210380939514225,0.7810550198525241,0.06856788603188056,0.06999999999999999,residual manifold after removing current-window context; scope=nonhyper
nonhyper,g5_residual_cluster_hybrid,nonhyper_g5_residual_cluster_hybrid_nofs_cal_interval,calibrated,False,interval,Calibrated,0.18245012452420883,0.7841489197132986,0.0693311199493549,0.10999999999999999,residual manifold plus residual archetypes; scope=nonhyper
nonhyper,g5_residual_cluster_hybrid,nonhyper_g5_residual_cluster_hybrid_fs_cal_interval,calibrated,True,interval,Calibrated,0.18181931227014494,0.7842520497086578,0.06937422707809326,0.10999999999999999,residual manifold plus residual archetypes; scope=nonhyper
nonhyper,g5_residual_cluster_hybrid,nonhyper_g5_residual_cluster_hybrid_nofs_cal_phase,calibrated,False,phase,Calibrated,0.1813736847892413,0.762388490692518,0.06987950497738106,0.13999999999999999,residual manifold plus residual archetypes; scope=nonhyper
nonhyper,g5_residual_cluster_hybrid,nonhyper_g5_residual_cluster_hybrid_fs_cal_phase,calibrated,True,phase,Calibrated,0.1810753866746535,0.7628010106739544,0.0699052197543784,0.13999999999999999,residual manifold plus residual archetypes; scope=nonhyper
nonhyper,g5_residual_cluster_hybrid,nonhyper_g5_residual_cluster_hybrid_nofs_raw,raw,False,none,Logistic Reg.,0.15369517524408063,0.6914350538854226,0.07218241575711129,0.10999999999999999,residual manifold plus residual archetypes; scope=nonhyper
nonhyper,g5_residual_cluster_hybrid,nonhyper_g5_residual_cluster_hybrid_nofs_cal_global,calibrated,False,global,Calibrated,0.15369517524408063,0.6914350538854226,0.07179819661000812,0.10999999999999999,residual manifold plus residual archetypes; scope=nonhyper
nonhyper,g5_residual_cluster_hybrid,nonhyper_g5_residual_cluster_hybrid_fs_raw,raw,True,none,Logistic Reg.,0.15333632815510603,0.6920022688598979,0.07215017923439682,0.10999999999999999,residual manifold plus residual archetypes; scope=nonhyper
nonhyper,g5_residual_cluster_hybrid,nonhyper_g5_residual_cluster_hybrid_fs_cal_global,calibrated,True,global,Calibrated,0.15333632815510603,0.6920022688598979,0.07178803282415805,0.09999999999999999,residual manifold plus residual archetypes; scope=nonhyper
